system:index,NDMI_mean,NDMI_p10,NDMI_p90,collectDOY,collectYear,fungal_diversity,latitude,longitude,plotID,precip_mm,precip_seasonality,soil_moisture,soil_pH,system:time_start,temp_celsius,temp_seasonality,.geo
4084,0.11311794072389603,-0.02185792289674282,0.2547245919704437,129,2018,6,47.118581,-99.239944,WOOD_003,431,71,0.704,6.62,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.239944,47.118581]}"
4085,0.11311794072389603,-0.02185792289674282,0.2547245919704437,129,2018,4,47.118581,-99.239944,WOOD_003,431,71,0.491,6.32,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.239944,47.118581]}"
4086,0.11311794072389603,-0.02185792289674282,0.2547245919704437,129,2018,10,47.118581,-99.239944,WOOD_003,431,71,0.672,6.68,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.239944,47.118581]}"
4087,0.1340363770723343,0.06091596186161041,0.23630136251449585,130,2018,2,47.151171,-99.262648,WOOD_024,431,71,3.432,7.6,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.262648,47.151171]}"
4088,0.1340363770723343,0.06091596186161041,0.23630136251449585,130,2018,9,47.151171,-99.262648,WOOD_024,431,71,2.113,7.97,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.262648,47.151171]}"
4089,0.1340363770723343,0.06091596186161041,0.23630136251449585,130,2018,10,47.151171,-99.262648,WOOD_024,431,71,1.122,7.3,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.262648,47.151171]}"
4090,-0.3134578466415405,-0.38448312878608704,-0.18730159103870392,107,2018,3,40.853093,-104.728006,CPER_005,364.7399103,58.21076233,0.115,7.46,2018-01-01T00:00:00,8.452466368,85.24955157,"{""type"":""Point"",""coordinates"":[-104.728006,40.853093]}"
4091,-0.3134578466415405,-0.38448312878608704,-0.18730159103870392,107,2018,10,40.853093,-104.728006,CPER_005,364.7399103,58.21076233,0.094,7.44,2018-01-01T00:00:00,8.452466368,85.24955157,"{""type"":""Point"",""coordinates"":[-104.728006,40.853093]}"
4092,-0.3134578466415405,-0.38448312878608704,-0.18730159103870392,107,2018,9,40.853093,-104.728006,CPER_005,364.7399103,58.21076233,0.058,6.68,2018-01-01T00:00:00,8.452466368,85.24955157,"{""type"":""Point"",""coordinates"":[-104.728006,40.853093]}"
4093,-0.291718453168869,-0.3444966971874237,-0.2097654938697815,107,2018,4,40.850866,-104.699535,CPER_001,364.7399103,58.21076233,0.109,7.35,2018-01-01T00:00:00,8.452466368,85.24955157,"{""type"":""Point"",""coordinates"":[-104.699535,40.850866]}"
4094,-0.291718453168869,-0.3444966971874237,-0.2097654938697815,107,2018,5,40.850866,-104.699535,CPER_001,364.7399103,58.21076233,0.066,8.18,2018-01-01T00:00:00,8.452466368,85.24955157,"{""type"":""Point"",""coordinates"":[-104.699535,40.850866]}"
4095,-0.291718453168869,-0.3444966971874237,-0.2097654938697815,107,2018,4,40.850866,-104.699535,CPER_001,364.7399103,58.21076233,0.082,6.71,2018-01-01T00:00:00,8.452466368,85.24955157,"{""type"":""Point"",""coordinates"":[-104.699535,40.850866]}"
4096,-0.32847991585731506,-0.36971351504325867,-0.2668358385562897,107,2018,3,40.81275,-104.696873,CPER_004,364.7399103,58.21076233,0.059,7.21,2018-01-01T00:00:00,8.452466368,85.24955157,"{""type"":""Point"",""coordinates"":[-104.696873,40.81275]}"
4097,-0.32847991585731506,-0.36971351504325867,-0.2668358385562897,107,2018,1,40.81275,-104.696873,CPER_004,364.7399103,58.21076233,0.05,7.42,2018-01-01T00:00:00,8.452466368,85.24955157,"{""type"":""Point"",""coordinates"":[-104.696873,40.81275]}"
4098,-0.3560788035392761,-0.42713797092437744,-0.22133758664131165,107,2018,4,40.814769,-104.748078,CPER_006,364.7399103,58.21076233,0.071,6.16,2018-01-01T00:00:00,8.452466368,85.24955157,"{""type"":""Point"",""coordinates"":[-104.748078,40.814769]}"
4099,-0.32847991585731506,-0.36971351504325867,-0.2668358385562897,107,2018,1,40.81275,-104.696873,CPER_004,364.7399103,58.21076233,0.116,7.3,2018-01-01T00:00:00,8.452466368,85.24955157,"{""type"":""Point"",""coordinates"":[-104.696873,40.81275]}"
4100,-0.3560788035392761,-0.42713797092437744,-0.22133758664131165,107,2018,5,40.814769,-104.748078,CPER_006,364.7399103,58.21076233,0.088,5.58,2018-01-01T00:00:00,8.452466368,85.24955157,"{""type"":""Point"",""coordinates"":[-104.748078,40.814769]}"
4101,-0.3560788035392761,-0.42713797092437744,-0.22133758664131165,107,2018,5,40.814769,-104.748078,CPER_006,364.7399103,58.21076233,0.068,5.42,2018-01-01T00:00:00,8.452466368,85.24955157,"{""type"":""Point"",""coordinates"":[-104.748078,40.814769]}"
4102,-0.2937256991863251,-0.34568387269973755,-0.20677965879440308,107,2018,5,40.818451,-104.707164,CPER_003,364.7399103,58.21076233,0.06,7.41,2018-01-01T00:00:00,8.452466368,85.24955157,"{""type"":""Point"",""coordinates"":[-104.707164,40.818451]}"
4103,-0.31267213821411133,-0.36339303851127625,-0.2139449566602707,108,2018,4,40.810934,-104.729248,CPER_002,364.7399103,58.21076233,0.12,5.97,2018-01-01T00:00:00,8.452466368,85.24955157,"{""type"":""Point"",""coordinates"":[-104.729248,40.810934]}"
4104,-0.33731240034103394,-0.39827585220336914,-0.20361991226673126,108,2018,10,40.817297,-104.747096,CPER_046,364.7399103,58.21076233,0.078,4.71,2018-01-01T00:00:00,8.452466368,85.24955157,"{""type"":""Point"",""coordinates"":[-104.747096,40.817297]}"
4105,-0.33731240034103394,-0.39827585220336914,-0.20361991226673126,108,2018,8,40.817297,-104.747096,CPER_046,364.7399103,58.21076233,0.07,5.21,2018-01-01T00:00:00,8.452466368,85.24955157,"{""type"":""Point"",""coordinates"":[-104.747096,40.817297]}"
4106,-0.32888564467430115,-0.3993304669857025,-0.1861145943403244,108,2018,5,40.818371,-104.746715,CPER_047,364.7399103,58.21076233,0.084,5.8,2018-01-01T00:00:00,8.452466368,85.24955157,"{""type"":""Point"",""coordinates"":[-104.746715,40.818371]}"
4107,-0.33731240034103394,-0.39827585220336914,-0.20361991226673126,108,2018,12,40.817297,-104.747096,CPER_046,364.7399103,58.21076233,0.088,5.21,2018-01-01T00:00:00,8.452466368,85.24955157,"{""type"":""Point"",""coordinates"":[-104.747096,40.817297]}"
4108,-0.3397078812122345,-0.40117594599723816,-0.2076236754655838,108,2018,11,40.817292,-104.750288,CPER_045,364.7399103,58.21076233,0.065,5.28,2018-01-01T00:00:00,8.452466368,85.24955157,"{""type"":""Point"",""coordinates"":[-104.750288,40.817292]}"
4109,-0.31148722767829895,-0.36944976449012756,-0.16360530257225037,108,2018,17,40.818931,-104.748858,CPER_048,364.7399103,58.21076233,0.067,5.75,2018-01-01T00:00:00,8.452466368,85.24955157,"{""type"":""Point"",""coordinates"":[-104.748858,40.818931]}"
