plotID,longitude,latitude,collectYear,collectDOY,soil_pH,soil_moisture,temp_celsius,precip_mm,temp_seasonality,precip_seasonality,fungal_diversity
CPER_005,-104.728006,40.853093,2017,191,7.35,0.063,8.452466368,364.7399103,85.24955157,58.21076233,5
CPER_048,-104.748858,40.818931,2017,191,5.76,0.044,8.452466368,364.7399103,85.24955157,58.21076233,6
CPER_048,-104.748858,40.818931,2017,191,5.74,0.05,8.452466368,364.7399103,85.24955157,58.21076233,7
CPER_006,-104.748078,40.814769,2017,192,5.41,0.057,8.452466368,364.7399103,85.24955157,58.21076233,7
CPER_006,-104.748078,40.814769,2017,192,6.33,0.056,8.452466368,364.7399103,85.24955157,58.21076233,6
RMNP_002,-105.472276,40.197386,2017,219,5.37,0.479,1.581818182,591.5454545,73.33254545,22.70909091,21
RMNP_044,-105.546207,40.27733,2017,219,5.15,1.488,1.581818182,591.5454545,73.33254545,22.70909091,16
RMNP_002,-105.472276,40.197386,2017,219,4.54,1.058,1.581818182,591.5454545,73.33254545,22.70909091,16
RMNP_044,-105.546207,40.27733,2017,219,5.71,0.548,1.581818182,591.5454545,73.33254545,22.70909091,31
RMNP_002,-105.472276,40.197386,2017,219,4.8,0.621,1.581818182,591.5454545,73.33254545,22.70909091,17
RMNP_044,-105.546207,40.27733,2017,219,5.57,0.491,1.581818182,591.5454545,73.33254545,22.70909091,21
RMNP_045,-105.545588,40.277348,2017,219,4.67,0.266,1.581818182,591.5454545,73.33254545,22.70909091,22
RMNP_045,-105.545588,40.277348,2017,219,5.47,0.491,1.581818182,591.5454545,73.33254545,22.70909091,25
RMNP_045,-105.545588,40.277348,2017,219,4.75,0.67,1.581818182,591.5454545,73.33254545,22.70909091,18
RMNP_019,-105.491303,40.195931,2017,219,5.15,0.127,1.581818182,591.5454545,73.33254545,22.70909091,16
RMNP_043,-105.545384,40.276827,2017,219,4.56,0.285,1.581818182,591.5454545,73.33254545,22.70909091,29
RMNP_043,-105.545384,40.276827,2017,219,4.97,0.399,1.581818182,591.5454545,73.33254545,22.70909091,21
RMNP_019,-105.491303,40.195931,2017,219,3.88,0.897,1.581818182,591.5454545,73.33254545,22.70909091,13
RMNP_043,-105.545384,40.276827,2017,219,4.89,0.693,1.581818182,591.5454545,73.33254545,22.70909091,20
RMNP_019,-105.491303,40.195931,2017,219,5.26,0.067,1.581818182,591.5454545,73.33254545,22.70909091,23
RMNP_041,-105.546756,40.275899,2017,219,4.25,0.351,1.581818182,591.5454545,73.33254545,22.70909091,22
RMNP_041,-105.546756,40.275899,2017,219,4.81,0.333,1.581818182,591.5454545,73.33254545,22.70909091,31
RMNP_013,-105.486722,40.196781,2017,219,5.08,0.524,1.581818182,591.5454545,73.33254545,22.70909091,16
RMNP_013,-105.486722,40.196781,2017,219,4.72,0.437,1.581818182,591.5454545,73.33254545,22.70909091,25
RMNP_013,-105.486722,40.196781,2017,219,4.23,0.538,1.581818182,591.5454545,73.33254545,22.70909091,10
RMNP_004,-105.54091,40.186823,2017,220,4.59,1.665,1.581818182,591.5454545,73.33254545,22.70909091,19
RMNP_004,-105.54091,40.186823,2017,220,4.5,1.607,1.581818182,591.5454545,73.33254545,22.70909091,31
RMNP_004,-105.54091,40.186823,2017,220,4.86,2.239,1.581818182,591.5454545,73.33254545,22.70909091,16
RMNP_006,-105.543533,40.158144,2017,220,3.81,2.381,1.581818182,591.5454545,73.33254545,22.70909091,14
RMNP_006,-105.543533,40.158144,2017,220,4.43,2.719,1.581818182,591.5454545,73.33254545,22.70909091,23
RMNP_006,-105.543533,40.158144,2017,220,3.94,1.401,1.581818182,591.5454545,73.33254545,22.70909091,22
RMNP_005,-105.526306,40.167943,2017,220,4.61,1.551,1.581818182,591.5454545,73.33254545,22.70909091,20
RMNP_005,-105.526306,40.167943,2017,220,4.24,0.559,1.581818182,591.5454545,73.33254545,22.70909091,24
RMNP_005,-105.526306,40.167943,2017,220,4.39,1.439,1.581818182,591.5454545,73.33254545,22.70909091,11
STER_031,-103.011685,40.470725,2016,333,5.7,0.104,9.2,419,92.3,72,4
STER_031,-103.011685,40.470725,2016,333,5.38,0.129,9.2,419,92.3,72,5
STER_029,-103.011749,40.468561,2016,333,5.72,0.108,9.2,419,92.3,72,2
STER_029,-103.011749,40.468561,2016,333,5.47,0.091,9.2,419,92.3,72,2
STER_029,-103.011749,40.468561,2016,333,5.99,0.125,9.2,419,92.3,72,4
